公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京多牛互动传媒股份有限公司,多牛传媒,150-500人,上市公司,海淀区,算法经理,5-10年,硕士,20k-40k,"五险一金,周末双休"
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,算法工程师,3-5年,不限,20k-30k,"七险一金,绩效奖金,弹性工作制,免费下午茶"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,算法工程师/ Researcher,3-5年,本科,30k-60k,重点业务部门 前景好
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法资深/专家,3-5年,硕士,40k-70k,"技术氛围,发展平台,牛人聚集,加班补贴"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法专家,3-5年,本科,20k-40k,"核心团队,未来发展,成长迅速"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法工程师-NLP,应届毕业生,本科,20k-30k,扁平管理，职业大牛，晋升空间
北京瑞地科技有限公司,REDEFINE,150-500人,不需要融资,朝阳区,算法工程师,3-5年,本科,25k-40k,"五险一金,补贴,弹性工作,行业大牛"
北京毫米科技有限公司,homi,50-150人,A轮,朝阳区,控制算法工程师,3-5年,本科,15k-30k,"弹性工作制,地铁沿线,年底奖金,大咖云集"
阿里巴巴（中国）有限公司,阿里妈妈,500-2000人,上市公司,朝阳区,算法专家,3-5年,本科,35K-70K,阿里妈妈核心模型质量评估，顶会文章
北京众安天下科技有限公司,众安天下 allsec,15-50人,天使轮,海淀区,算法实习生,不限,不限,5k-8k,"五险一金,周末双休,节日福利,零食水果"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,算法工程师,5-10年,本科,40k-80k,"15薪,13天年假,免费三餐,期权激励"
京东金融,京东金融,2000人以上,上市公司,大兴区,算法工程师岗,3-5年,硕士,25k-50k,班车；餐补
北京达佳互联信息技术有限公司,快手,500-2000人,D轮及以上,海淀区,算法专家-语义理解/NLU/NLP,3-5年,硕士,30k-50k,"弹性工作,股票期权,精英团队,千万级用户"
