公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,算法实习生,不限,本科,6k-8k,免费三餐，休闲下午茶，职业大牛，团队氛围好
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,数据/算法工程师,1-3年,本科,25k-45k,"15薪,大平台,三餐免费,健身房"
阳光保险集团股份有限公司,阳光产险信保事业部,2000人以上,不需要融资,朝阳区,机器学习/算法工程师,3-5年,本科,20k-40k,"晋升空间大,年终奖金高,技术大牛多,福利丰厚"
上海基分文化传播有限公司,趣头条,500-2000人,上市公司,海淀区,算法工程师,3-5年,本科,30k-60k,"六险一金,技术大咖,带薪年假"
北京旷视科技有限公司,Face++,500-2000人,C轮,海淀区,算法工程师/ Researcher,3-5年,本科,30k-60k,重点业务部门 前景好
北京方正手迹数字技术有限公司,方正手迹,150-500人,不需要融资,海淀区,算法工程师(J12173),1-3年,本科,20k-30k,"移动互联网,行业top,福利齐全,快速成长"
北京众安天下科技有限公司,众安天下 allsec,15-50人,天使轮,海淀区,算法实习生,不限,不限,5k-8k,"五险一金,周末双休,节日福利,零食水果"
上海励融企业管理咨询事务所,上海励融资询,50-150人,不需要融资,朝阳区,算法总监,3-5年,硕士,40k-80k,"推荐系统,计算机视觉,NLP,母婴"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,算法工程师-大住宿事业部,3-5年,本科,25k-35k,深度学习
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,算法工程师-北京,应届毕业生,本科,5k-8k,"平台稳定,福利多多,氛围轻松,爱心假日"
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,算法工程师,3-5年,不限,20k-30k,"七险一金,绩效奖金,弹性工作制,免费下午茶"
北京航科天力系统工程技术有限公司,航科天力,15-50人,不需要融资,海淀区,算法工程师,1-3年,本科,8k-15k,重点项目
达疆网络科技（上海）有限公司,达达-京东到家,2000人以上,D轮及以上,大兴区,算法工程师,5-10年,本科,30k-50k,"新零售,扁平化管理,免费班车"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,算法工程师/leader,5-10年,本科,25k-40k,技术大牛
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,通州区,搜索引擎/算法工程师,3-5年,本科,15k-30k,京东
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,算法研究员／数据科学家,3-5年,硕士,25k-50k,"15薪,六险一金,空间大,大牛多"
深圳市金证优智科技有限公司,金证优智,15-50人,A轮,海淀区,算法工程师,3-5年,本科,15k-30k,"技术大牛,团队氛围好,期权激励,高成长"
北京智铀科技有限公司,智铀科技,50-150人,A轮,朝阳区,算法工程师,1-3年,本科,20k-40k,"福利好,氛围好,大咖多,晋升快"
北京瑞友科技股份有限公司,北京瑞友,2000人以上,上市公司,海淀区,算法工程师,3-5年,本科,15k-25k,平台好
北京融联世纪信息技术有限公司,融360,500-2000人,D轮及以上,海淀区,算法架构师,5-10年,硕士,40k-60k,"上市公司,股票期权,团队氛围好,自助午餐"
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,朝阳区,算法工程师,1-3年,本科,30k-60k,"全额公积金,弹性工作,午餐补助"
生命奇点（北京）科技有限公司,生命奇点,50-150人,A轮,海淀区,算法工程师,应届毕业生,本科,12k-24k,"项目有挑战,团队氛围好,技术导向,成长空间大"
青松智慧（北京）科技有限公司,青松,15-50人,B轮,海淀区,算法工程师,3-5年,本科,30k-60k,"五险一金,股票期权,季度旅游,福利多多"
恒信东方文化股份有限公司,恒信东方,500-2000人,上市公司,海淀区,算法工程师,3-5年,本科,25k-50k,"上市公司,领导nic,发展空间"
深圳市英威诺科技有限公司,英威诺,150-500人,C轮,朝阳区,算法工程师,3-5年,硕士,40k-50k,"平台发展,算法价值,周末双休,六险一金"
